key,variables,en,tr,ar,pl,br
cardinfo_row_station3,,If 3 Stations are owned,Eğer 3 istasyona sahipsen,إذا كنت تمتلك 3 محطة,,If 3 Stations are owned
cardinfo_row_station4,,If 4 Stations are owned,Eğer 4 istasyona sahipsen,إذا كنت تمتلك 4 محطة,,If 4 Stations are owned
cardinfo_row_house1,,With 1 House,1 ev varsa,إذا كنت تمتلك 1 منزل,,Com 1 casa
cardinfo_row_house2,,With 2 Houses,2 ev varsa,إذا كنت تمتلك 2 منزل,,Com 2 casas
cardinfo_row_house3,,With 3 Houses,3 ev varsa,إذا كنت تمتلك 3 منازل,,Com 3 casas
cardinfo_row_house4,,With 4 Houses,4 ev varsa,إذا كنت تمتلك 4 منازل,,Com 4 casas
cardinfo_row_hotel,,With 1 Hotel,1 otel varsa,إذا كنت تمتلك 1 فندق,,Com 1 Hotel
cardinfo_row_housecost,,A House Costs,Ev Fiyatı,سعر المنزل,,Uma Casa Custa
cardinfo_row_mortgage,,Mortgage,İpotek,سعر الرهن ,,Hipotecado
cardinfo_row_utility,,"If one utility is owned, rent is 4
times amount shown on dice.
If both utilities are owned, rent
is 10 times amount shown on
dice","Eğer bir kamu hizmetine
sahipsen kira bedeli zarlar
toplamının 4 katı.
Eğer her iki kamu hizmetine
sahipsen kira bedeli zarlar
toplamının 10 katı.",إذا كانت إحدى المرافق مملوكة\nيكون الإيجار 4 مرات\nالمقدار المعروض على النرد\nإذا كانت كلتا المرافقين مملوكتين\nقيمة الإيجارهو 10 أضعاف\nالمبلغ الظاهر على النرد,,"Se um utilitário é de propriedade, o aluguel é de 4
vezes a quantidade mostrada nos dados.
Se ambas as utilidades forem de propriedade, alugue
é 10 vezes o valor mostrado em
dados"
cardinfo_jailvisit,cell|separator,"\n\n\n\n<font size=""12"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>",,,,
cardinfo_jail,cell|separator,"\n\n\n\n\n<font size=""12"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>",,,,
cardinfo_chance,cell|separator,"\n\n\n\n\n<font size=""12"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>",,,,
cardinfo_chest,cell|separator,"\n\n\n\n\n<font size=""12"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>",,,,
cardinfo_win,cell|separator,"\n\n\n\n\n<font size=""14"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b>\n<font size=""-2"" color=""#000000"">
{#cardinfo_row_earn} <font color=""#006400"">${cell.price}</font>","\n\n\n\n\n<font size=""14"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b>\n<font size=""-2"" color=""#000000"">
<font color=""#006400"">${cell.price}</font> {#cardinfo_row_earn}",,,
cardinfo_lose,cell|separator,"\n\n\n\n<font face=""Comic Sans MS"" size=""16"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>\n<font size=""-2"" color=""#000000""><p align=""center"">{#cardinfo_row_lose} <font color=""#006400"">${cell.price}</font>","\n\n\n\n<font face=""Comic Sans MS"" size=""16"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>\n<font size=""-2"" color=""#000000""><p align=""center""><font color=""#006400"">${cell.price}</font> {#cardinfo_row_lose}",,,
cardinfo_utility,cell|separator,"\n\n\n\n<font size=""9"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>
<textformat tabstops=""[110]""><font size=""-1"">
{#cardinfo_row_price}\t<font color=""#006400"">${cell.price}</font>
{#cardinfo_row_utility}
{#cardinfo_row_mortgage}\t<font color=""#006400"">${cell.mortgage}</font>",,,,
cardinfo_station,cell|separator,"\n\n\n\n<font size=""9"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>
<textformat tabstops=""[110]""><font size=""8"" color=""#000000"">
{#cardinfo_row_price}\t<font color=""#006400"">${cell.price}</font>
{#cardinfo_row_station1}\t<font color=""#006400"">${cell.station1}</font>
{#cardinfo_row_station2}\t<font color=""#006400"">${cell.station2}</font>
{#cardinfo_row_station3}\t<font color=""#006400"">${cell.station3}</font>
{#cardinfo_row_station4}\t<font color=""#006400"">${cell.station4}</font>
{#cardinfo_row_mortgage}\t<font color=""#006400"">${cell.mortgage}</font>",,"\n\n\n\n<font size=""12"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>
<textformat tabstops=""[110]""><font size=""8"" color=""#000000"">
{#cardinfo_row_price}\t<font color=""#006400"">${cell.price}</font>
{#cardinfo_row_station1}\t<font color=""#006400"">${cell.station1}</font>
{#cardinfo_row_station2}\t<font color=""#006400"">${cell.station2}</font>
{#cardinfo_row_station3}\t<font color=""#006400"">${cell.station3}</font>
{#cardinfo_row_station4}\t<font color=""#006400"">${cell.station4}</font>
{#cardinfo_row_mortgage}\t<font color=""#006400"">${cell.mortgage}</font>",,
cardinfo_property,cell|separator,"<textformat tabstops=""[95]""><font size=""10"" color=""#000000"">
{#cardinfo_row_price}\t<font color=""#006400"">${cell.price}</font>
{#cardinfo_row_rent}\t<font color=""#006400"">${cell.rent}</font>
{#cardinfo_row_house1}\t<font color=""#006400"">${cell.house}</font>
{#cardinfo_row_house2}\t<font color=""#006400"">${cell.house2}</font>
{#cardinfo_row_house3}\t<font color=""#006400"">${cell.house3}</font>
{#cardinfo_row_house4}\t<font color=""#006400"">${cell.house4}</font>
{#cardinfo_row_hotel}\t<font color=""#006400"">${cell.hotel}</font>
{separator}
{#cardinfo_row_housecost}\t<font color=""#006400"">${cell.house_hotel}</font>
{#cardinfo_row_mortgage}\t<font color=""#006400"">${cell.mortgage}</font>",,,,
cardinfo_empty,cell|separator,"\n\n\n\n<font size=""12"" color=""#000000""><p align=""center""><b><a href=""event:closecard"">{$cell.card_title}</a></b></p>",,,,
menu_tab_1,,How,,,,Como
menu_tab_2,,Rules,,,,Regras
menu_tab_3,,Settings,,,,Configurações
menu_tab_4,,Credits,,,,Créditos
menu_content_1,,"<G>When it is your turn, press this icon to throw the dice!
Manage your properties by building/selling houses and mortgaging them.
You can trade property with other players for money or other properties.
When you are done with your turn, press this stop sign to end it.",,,,<G>clique e aprenda sozinho
menu_content_2,,"<R> • At the start of the game, all players will roll the dice. The player with the highest number will go first and then the second highest number and so on.
• If you roll doubles, you can play your turn normally and then you get to roll again. If you roll three doubles in a row, you will go to jail.
• When a player passes GO, they will receive $200 from the bank.
• When you land on an unowned property, you can buy it. If you choose not to, the property will be auctioned and all players can bid on it.
• Money can only be loaned by the bank through mortgaged property, and players cannot give or steal money from others.
• When a player lands on another player's property, they need to pay the listed rent.
• Buying houses: When you own all properties on a color-group you can buy houses on those properties. Houses need to be built evenly, for example all properties need to have 1 house before any can have 2. Selling houses back to the bank must be done evely as well. When you have 4 houses on a property, you can buy a hotel for the property. You can only have 1 hotel.
• Selling houses: You can sell properties without houses to other players. Houses and hotels can be sold back to the bank evenly, for example one house from each property before a second house can be sold
• Mortgage: You can mortgage any property if it does not have houses on it,This will allow you to recieve 100% of the property value from the bank, but you cannot earn money from rent while a property is mortgaged. You can fully buy your mortgaged property back from the bank anytime by paying mortgage property cost.
• Bankruptcy: If you owe more money than you can afford to a player or the bank, you are declared bankrupt. If you owe the money to a player, you turn over everything you have of value and leave the game. Any owned houses and hotels will be force to sell them to the bank, and their price will be given in cash to the player who is owed money. Mortgaged property is turned over to the player who is owed money as well. If money is owed to the bank, everything you have of value is taken by the bank, and all properties are auctioned off to the remaining players.
• Jail: You sent to jail if you land on the 'go to jail' space, get a card that tells you to go to jail, or roll doubles three times in a row. You can get out by rolling doubles in your next three turns, using the 'get out of jail free' card, or paying a fine of $50. You can still buy or sell properties, houses, and hotels and you can still collect rent while in jail.",,,,<R>não quebre as regras
menu_content_3,,<G>toggle this,,,,<G>alternar isto
menu_content_4,,<V>mice,,,,<V>rato
welcome,,<ROSE>Welcome message that nobody reads.,,,,
